CompanyName;Participation;Certification.Date;Certification.Due.Date;Type
1WorldSync, Inc.;EU-U.S. Privacy Shield Framework;2017-01-10;2018-01-10;NON-HR
20/20 Software, Inc.;EU-U.S. Privacy Shield Framework;2016-09-08;2017-09-08;NON-HR
20|20 Research;EU-U.S. Privacy Shield Framework;2016-10-06;2017-10-06;NON-HR
23andMe, Inc.;EU-U.S. Privacy Shield Framework;2016-11-03;2017-11-03;NON-HR
24/7 Customer, Inc.;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
250ok LLC;EU-U.S. Privacy Shield Framework;2016-12-30;2017-12-30;NON-HR
2sms.com Limited;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
3Cinteractive Corp;EU-U.S. Privacy Shield Framework;2016-09-15;2017-09-15;NON-HR
3D Systems Corporation;EU-U.S. Privacy Shield Framework;2016-11-08;2017-11-08;HR, NON-HR
3E Company;EU-U.S. Privacy Shield Framework;2016-11-14;2017-11-14;HR, NON-HR
411Labs, Inc;EU-U.S. Privacy Shield Framework;2017-02-10;2018-02-10;NON-HR
4f Sales;EU-U.S. Privacy Shield Framework;2016-11-28;2017-11-28;NON-HR
6sense;Swiss-U.S. Privacy Shield Framework;2017-05-04;2018-05-04;NON-HR
6sense;EU-U.S. Privacy Shield Framework;2016-10-12;2018-05-04;NON-HR
81qd LLC;EU-U.S. Privacy Shield Framework;2017-03-09;2018-03-09;NON-HR
8x8, INC.;EU-U.S. Privacy Shield Framework;2016-11-14;2017-11-14;NON-HR
99Designs;EU-U.S. Privacy Shield Framework;2017-02-22;2018-02-22;NON-HR
A-Check Global;EU-U.S. Privacy Shield Framework;2016-12-12;2017-12-12;NON-HR
A.T. Kearney;EU-U.S. Privacy Shield Framework;2016-11-09;2017-11-09;HR, NON-HR
A2 Hosting, Inc.;EU-U.S. Privacy Shield Framework;2016-11-22;2017-11-22;NON-HR
ABB;EU-U.S. Privacy Shield Framework;2016-12-05;2017-12-05;HR, NON-HR
ABC-Amega, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-08;2017-10-24;NON-HR
ABC-Amega, Inc.;EU-U.S. Privacy Shield Framework;2016-10-24;2017-10-24;NON-HR
ACA Compliance Group;EU-U.S. Privacy Shield Framework;2016-10-11;2017-10-11;HR, NON-HR
Accertify, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-02;2017-09-12;NON-HR
Accertify, Inc.;EU-U.S. Privacy Shield Framework;2016-09-12;2017-09-12;NON-HR
Accesso LLC;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
ACCO Brands Corp.;EU-U.S. Privacy Shield Framework;2017-01-19;2018-01-19;HR, NON-HR
